family_id,sample_id,blind_item_id,lemma,group,initial,frequency_stratum,frequency_count,contextual_diversity_count,target_code,target_subdomain,annotation_provenance
EF002-F5FED2D80F5F,UNI-EXP-002-S0001,SCT002-0027,wop,W,W,high,95.0,43.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-458762EACE61,UNI-EXP-002-S0002,SCT002-0301,whorehouse,W,W,high,89.0,67.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B3FE4E804D7D,UNI-EXP-002-S0003,SCT002-0313,wander,W,W,high,520.0,255.0,1,C,AI_A_AI_B_AGREEMENT
EF002-65C5BE8E90CD,UNI-EXP-002-S0004,SCT002-0229,wow,W,W,high,8173.0,3377.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-5D0F9906D143,UNI-EXP-002-S0005,SCT002-0312,wreckage,W,W,high,107.0,84.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-C6218A3983B4,UNI-EXP-002-S0006,SCT002-0004,wiggle,W,W,high,211.0,105.0,1,C,AI_A_AI_B_AGREEMENT
EF002-6031236E6331,UNI-EXP-002-S0007,SCT002-0044,wrestler,W,W,high,128.0,58.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-A0DDF1E6E781,UNI-EXP-002-S0008,SCT002-0160,wayward,W,W,high,38.0,33.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-D4484644C561,UNI-EXP-002-S0009,SCT002-0261,wont,W,W,high,81.0,42.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-78ED04004804,UNI-EXP-002-S0010,SCT002-0164,wax,W,W,high,467.0,277.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-51B1D087285A,UNI-EXP-002-S0011,SCT002-0351,week,W,W,high,18801.0,5024.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-556DEA69EFEE,UNI-EXP-002-S0012,SCT002-0318,whoopee,W,W,high,82.0,69.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B6F072836FEE,UNI-EXP-002-S0013,SCT002-0128,way,W,W,high,72661.0,8222.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-E6093D6D8714,UNI-EXP-002-S0014,SCT002-0256,widen,W,W,high,59.0,40.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-62B2D3563FB3,UNI-EXP-002-S0015,SCT002-0121,we,W,W,high,459607.0,8359.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-A42BC0285D42,UNI-EXP-002-S0016,SCT002-0146,workout,W,W,high,153.0,127.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B9E948D13EBC,UNI-EXP-002-S0017,SCT002-0020,wage,W,W,high,159.0,142.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-041C23948F47,UNI-EXP-002-S0018,SCT002-0117,wheelbarrow,W,W,high,34.0,23.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4084EAC14A74,UNI-EXP-002-S0019,SCT002-0125,walk,W,W,high,14682.0,4848.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-001E8E459B04,UNI-EXP-002-S0020,SCT002-0151,wager,W,W,high,240.0,140.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-508843F4E777,UNI-EXP-002-S0021,SCT002-0123,whitey,W,W,high,410.0,92.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-6EA9C4D2E949,UNI-EXP-002-S0022,SCT002-0329,wanker,W,W,high,128.0,70.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F8C094EB28CB,UNI-EXP-002-S0023,SCT002-0296,whisk,W,W,high,50.0,29.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-71DA6664360A,UNI-EXP-002-S0024,SCT002-0307,wiener,W,W,high,124.0,66.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-7C8A35F34D00,UNI-EXP-002-S0025,SCT002-0140,wash,W,W,high,2170.0,1354.0,1,B,AI_A_AI_B_AGREEMENT
EF002-DC95775CD5D4,UNI-EXP-002-S0026,SCT002-0250,winter,W,W,high,1486.0,839.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4F5D2D4C86CA,UNI-EXP-002-S0027,SCT002-0031,wad,W,W,high,93.0,77.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-6514CB0E1133,UNI-EXP-002-S0028,SCT002-0341,waltz,W,W,high,363.0,181.0,0,NONE,AI_A_AI_B_AGREEMENT
