blind_item_id,final_target_code,final_target_subdomain,final_primary_or_common_sense_target,provenance
SCT002-0001,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0002,1,B,yes,AI_A_AI_B_AGREEMENT
SCT002-0003,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0004,1,C,yes,AI_A_AI_B_AGREEMENT
SCT002-0005,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0006,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0007,1,B,yes,AI_A_AI_B_AGREEMENT
SCT002-0008,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0009,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0010,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0011,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0012,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0013,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0014,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0015,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0016,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0017,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0018,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0019,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0020,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0021,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0022,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0023,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0024,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0025,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0026,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0027,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0028,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0029,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0030,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0031,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0032,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0033,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0034,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0035,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0036,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0037,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0038,0,NONE,no,AI_A_AI_B_AGREEMENT
